DATE	GE	NEP	FAN	ENPH	FSLR	FTEK	RUN	PZD	FCEL	TSLA
18/12/2015	25.91	23.88	9.64	3.01	63.41	1.84	13.74	27.83	66.60	46.09
21/12/2015	26.01	24.26	9.64	3.59	65.74	1.83	13.40	27.89	67.56	46.51
22/12/2015	26.09	25.08	9.80	3.54	64.99	1.82	11.60	28.26	65.88	45.99
23/12/2015	26.48	24.53	9.93	3.68	66.17	1.83	11.88	28.60	66.12	45.94
24/12/2015	26.38	24.13	9.93	3.62	66.92	1.82	12.19	28.79	65.76	46.11
28/12/2015	26.44	24.04	9.90	3.59	66.40	1.78	11.67	28.49	63.24	45.79
29/12/2015	26.76	24.35	9.95	3.46	66.41	1.78	11.70	28.87	62.76	47.44
30/12/2015	26.57	24.23	9.88	3.50	66.99	1.78	11.72	28.64	61.56	47.62
31/12/2015	26.65	24.26	9.79	3.51	65.99	1.89	11.77	28.39	59.52	48.00
04/01/2016	26.28	23.75	9.68	3.49	66.72	1.80	11.21	27.90	66.96	44.68
05/01/2016	26.30	23.25	9.69	3.35	72.03	1.98	9.61	27.86	70.56	44.69
06/01/2016	25.88	22.98	9.53	3.16	69.52	1.77	10.20	27.31	74.04	43.81
07/01/2016	24.79	22.03	9.42	3.00	66.22	1.84	9.21	26.49	63.84	43.13
08/01/2016	24.34	22.82	9.30	2.99	65.62	1.81	9.75	26.29	73.92	42.20
11/01/2016	24.45	23.20	9.21	2.80	65.42	1.81	9.31	25.92	70.56	41.57
12/01/2016	24.51	23.29	9.21	2.71	65.22	1.79	8.67	26.25	66.00	41.99
13/01/2016	24.16	21.11	9.09	2.50	61.37	1.75	8.25	25.42	62.40	40.06
14/01/2016	24.86	22.70	9.27	2.35	61.78	1.78	8.00	25.64	61.44	41.24
15/01/2016	24.38	21.68	8.81	2.19	61.32	1.65	7.75	24.89	59.16	41.00
19/01/2016	24.38	21.40	8.90	2.19	61.49	1.66	7.40	25.09	59.40	40.94
20/01/2016	23.96	20.75	8.75	2.04	61.27	1.77	8.54	24.80	59.04	39.74
21/01/2016	24.46	20.22	8.68	2.46	63.23	1.81	8.97	24.99	60.24	39.99
22/01/2016	24.16	20.99	8.92	2.36	66.44	1.91	8.79	25.41	63.60	40.51
25/01/2016	23.99	20.41	8.86	2.31	64.14	1.77	8.41	25.00	60.60	39.28
26/01/2016	24.22	21.54	9.02	2.34	67.40	1.80	8.73	25.56	62.64	38.71
27/01/2016	23.96	21.33	9.01	2.26	65.64	1.72	8.34	25.37	62.76	37.61
28/01/2016	24.14	21.20	9.08	2.31	65.88	1.74	10.05	25.38	62.52	37.94
29/01/2016	24.90	21.93	9.33	2.43	68.66	1.79	9.52	25.97	63.96	38.24
01/02/2016	24.51	22.14	9.32	2.39	69.13	1.80	8.94	26.00	63.36	39.39
02/02/2016	24.16	21.66	9.12	2.21	66.13	1.78	8.34	25.41	60.72	36.56
03/02/2016	24.53	23.72	9.24	2.31	66.49	1.81	8.10	25.81	61.08	34.70
04/02/2016	24.97	24.01	9.24	2.31	67.20	1.76	8.05	26.17	62.28	35.07
05/02/2016	24.42	23.97	9.12	2.13	65.07	1.76	7.96	25.70	60.84	32.52
08/02/2016	24.10	23.87	8.76	2.09	64.18	1.63	7.60	25.04	59.16	29.60
09/02/2016	24.20	22.34	8.85	1.94	66.48	1.56	7.20	25.30	57.72	29.65
10/02/2016	24.21	21.38	8.81	1.90	64.41	1.60	6.07	25.31	57.36	28.73
11/02/2016	23.49	20.46	8.65	1.83	61.36	1.67	5.08	25.14	56.40	30.09
12/02/2016	24.18	21.63	8.66	1.95	60.99	1.57	5.04	25.18	57.36	30.21
16/02/2016	24.69	22.36	8.99	2.13	63.05	1.59	4.96	25.96	59.76	31.03
17/02/2016	25.10	22.21	9.06	2.24	63.47	1.65	5.33	26.72	62.04	33.74
18/02/2016	24.88	22.77	8.98	2.10	63.54	1.53	5.63	26.61	62.04	33.35
19/02/2016	24.83	22.52	8.98	2.14	62.76	1.55	5.41	26.50	59.64	33.32
22/02/2016	25.16	23.13	9.04	2.21	64.23	1.55	5.06	26.84	61.68	35.55
23/02/2016	25.00	21.24	8.93	2.35	61.79	1.52	5.16	26.63	59.16	35.44
24/02/2016	24.78	21.27	8.88	1.98	69.45	1.50	5.06	26.42	61.44	35.80
25/02/2016	25.21	21.34	9.00	1.96	72.25	1.50	5.30	26.72	60.24	37.49
26/02/2016	25.36	21.33	8.90	1.92	70.25	1.57	5.51	26.85	64.08	38.07
29/02/2016	25.13	21.33	9.00	2.33	71.87	1.55	5.62	26.96	68.52	38.39
01/03/2016	25.77	21.44	9.07	2.44	69.02	1.56	5.47	27.62	67.56	37.27
02/03/2016	26.03	21.29	9.14	2.61	69.14	1.57	6.10	27.50	72.24	37.67
03/03/2016	26.06	21.05	9.30	3.33	69.71	1.62	6.40	27.74	77.40	39.15
04/03/2016	26.27	20.59	9.47	3.05	69.52	1.59	6.21	27.96	76.68	40.21
07/03/2016	26.12	21.18	9.45	3.30	69.18	1.64	6.60	28.01	81.60	41.06
08/03/2016	25.93	21.06	9.35	2.92	66.87	1.69	6.68	27.65	76.92	40.52
